ticker,setor,nome,preco_atual,p_l,p_vp,roe,dividend_yield,margem_liquida,divida_patrimonio,market_cap,p_l_vs_setor,roe_vs_setor,dividend_yield_vs_setor
SAPR11.SA,Utilities,Companhia de Saneamento do Paraná - SANEPAR,33.56,41.483315,0.8380154,3.8120000000000003,3.25,6.036,59.898,10143208448.0,19.48927978823529,-10.049555477777776,-2.4175000000000004
SAPR4.SA,Utilities,Companhia de Saneamento do Paraná - SANEPAR,6.67,23.821428,0.1665543,3.8120000000000003,3.38,6.036,59.898,10079740928.0,1.8273927882352936,-10.049555477777776,-2.2875000000000005
SAUD3.SA,Healthcare,Bradsaúde S.A.,13.94,12.336283,2.1784654,10.538,2.89,9.865,1.095,40753135616.0,-1.950889142857143,32.543374875,-2.237142857142857
SBFG3.SA,Consumer Cyclical,Grupo SBF S.A.,7.66,4.2555556,0.55155534,13.703999999999999,6.43,5.005,99.91,1766886144.0,-8.609461894999999,3.7821738608695643,-6.577368421052631
SBSP3.SA,Utilities,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,26.9,11.302521,2.0981202,18.792,5.29,19.67,114.009,94596358144.0,-10.691514211764707,4.930444522222224,-0.3775000000000004
SEER3.SA,Consumer Defensive,Ser Educacional S.A.,14.31,6.7500005,1.2025211,19.143999,2.9,11.847000000000001,91.701,1832259200.0,-10.04584703636364,7.410332366666667,-4.047272727272727
SIMH3.SA,Industrials,SIMPAR S.A.,8.14,,0.8165313,-0.23100001,2.13,-0.404,605.131,4751800832.0,,-3.9413333804166664,-4.6
SLCE3.SA,Consumer Defensive,SLC Agrícola S.A.,17.18,27.709679,1.5718206,6.974999599999999,7.33,4.4120003,181.777,8520598528.0,10.913831463636363,-4.758667033333334,0.3827272727272728
SMFT3.SA,Consumer Cyclical,Smartfit Escola de Ginástica e Dança S.A.,17.32,15.745454,1.756058,11.691,6.09,8.526000400000001,224.303,10601206784.0,2.8804365050000005,1.7691738608695662,-6.917368421052631
SMTO3.SA,Basic Materials,São Martinho S.A.,17.61,7.187755,0.77064466,11.342,1.18,11.4250004,165.268,5684037632.0,-17.97865241538462,-1.1136250062500004,-6.169230769230769
SUZB3.SA,Basic Materials,Suzano S.A.,45.58,6.9375954,1.2857908,17.604999,2.36,17.080000000000002,199.419,56134537216.0,-18.22881201538462,5.1493739937499985,-4.989230769230769
TAEE11.SA,Utilities,Transmissora Aliança de Energia Elétrica S.A.,40.94,38.99048,1.7474816,20.858999,9.39,36.476,136.483,42311491584.0,16.99644478823529,6.997443522222223,3.7225
TEND3.SA,Real Estate,Construtora Tenda S.A.,27.92,5.9152546,2.2238152,40.6,5.35,12.081,78.655,3424200960.0,-14.093701716666665,16.129692269230773,-8.225833333333334
TFCO4.SA,Consumer Cyclical,Track & Field Co S.A.,13.12,13.957447,3.249133,25.722,1.99,13.096,27.898,1991059072.0,1.0924295050000001,15.800173860869567,-11.01736842105263
TGMA3.SA,Industrials,Tegma Gestão Logística S.A.,36.08,9.371429,2.3930492,25.561002,13.82,10.135999,22.558,2379034880.0,-8.47591645263158,21.850668629583332,7.090000000000001
TIMS3.SA,Communication Services,TIM S.A.,18.77,10.427778,1.8360561,17.254,8.97,15.784999999999998,65.949,44583731200.0,-7.242702699999999,9.684000166666667,1.1240000000000014
TOTS3.SA,Technology,TOTVS S.A.,35.13,23.111843,3.689351,17.014000000000003,1.69,21.629,92.106,19913957376.0,0.0,12.405500000000002,0.31999999999999984
TTEN3.SA,Basic Materials,Três Tentos Agroindustrial S/A,10.1,8.211382,1.0096971,12.1350005,3.66,3.2199999999999998,103.287,5049600512.0,-16.95502541538462,-0.3206245062500006,-3.689230769230768
TUPY3.SA,Industrials,Tupy S.A.,16.68,,0.95581913,-28.198,,-8.258000000000001,171.506,2187572992.0,,-31.908333370416667,
UGPA3.SA,Energy,Ultrapar Participações S.A.,38.8,11.829268,2.517682,19.804001,5.03,2.2560000000000002,97.688,41346056192.0,-24.153256733333336,8.511001138571428,-0.702
UNIP6.SA,Basic Materials,Unipar Carbocloro S.A.,57.15,25.400002,3.4064493,10.7650004,17.79,5.093,184.54,6382487552.0,0.23359458461538196,-1.690624606250001,10.44076923076923
USIM5.SA,Basic Materials,Usinas Siderúrgicas de Minas Gerais S.A.,6.86,,0.40692848,-8.073,,-9.363000000000001,27.334,8444267008.0,,-20.528625006250003,
VALE3.SA,Basic Materials,Vale S.A.,70.66,27.709806,1.529305,4.1149996,8.76,4.755,54.603,300712198144.0,2.5433985846153817,-8.340625406250002,1.4107692307692314
VAMO3.SA,Industrials,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",3.86,13.785714,1.5800245,10.700999999999999,3.7,5.0970003,483.858,4715918336.0,-4.061631452631579,6.990666629583332,-3.0299999999999994
VBBR3.SA,Consumer Cyclical,Vibra Energia S.A.,39.15,9.211765,1.9901383,22.621,4.95,2.479,92.73,46831738880.0,-3.6532524950000003,12.699173860869564,-8.05736842105263
VIVA3.SA,Consumer Cyclical,Vivara Participações S.A.,21.77,8.742972,1.6887752,19.703,6.09,18.556,39.643,5118890496.0,-4.122045495,9.781173860869565,-6.917368421052631
VIVT3.SA,Communication Services,Telefônica Brasil S.A.,30.41,14.8341465,1.480742,9.872,6.23,10.682,30.209,97178386432.0,-2.8363341999999996,2.302000166666666,-1.6159999999999988
